defectId,severity,closedDate,application,openDate,weekNumber,rootCause,phase,projectName,status
5269,A-Critical,9999-99-99,NGBA Phase 2,6/30/2017,11,Not Available,System Integration Test (SIT),A,Closed
5270,D-Low,9999-99-99,NGBA Phase 2,6/30/2017,11,Component Code,System Integration Test (SIT),A,Closed
5271,D-Low,9999-99-99,NGBA Phase 2,6/30/2017,11,Not Available,System Integration Test (SIT),A,Closed
5272,D-Low,9999-99-99,NGBA Phase 2,6/30/2017,11,Component Code,System Integration Test (SIT),A,Closed
5273,D-Low,9999-99-99,NGBA Phase 2,6/30/2017,11,Detailed Design,System Integration Test (SIT),A,Closed
5274,C-Medium,9999-99-99,NGBA Phase 2,6/30/2017,11,Not Available,System Integration Test (SIT),A,Closed
5275,C-Medium,9999-99-99,NGBA Phase 2,6/30/2017,11,Not Available,System Integration Test (SIT),A,Closed
5276,A-Critical,9999-99-99,NGBA Phase 2,6/30/2017,11,Not Available,System Integration Test (SIT),A,Closed
5277,A-Critical,7/3/2017,NGBA Phase 2,6/30/2017,11,Not Available,System Integration Test (SIT),A,Closed
5278,B-High,7/3/2017,NGBA Phase 2,6/30/2017,11,Middleware,System Integration Test (SIT),A,Closed
